epoch,step,train_loss_epoch,train_loss_step,train_mse_epoch,train_mse_step,val_loss_epoch,val_loss_step,val_mse_epoch,val_mse_step
,0,,,,,,7.812388896942139,,7.812388896942139
,1,,,,,,8.307507514953613,,8.307507514953613
,2,,,,,,8.004838943481445,,8.004838943481445
,3,,,,,,7.585625171661377,,7.585625171661377
,4,,,,,,8.080360412597656,,8.080360412597656
,5,,,,,,7.9175190925598145,,7.9175190925598145
,6,,,,,,8.001511573791504,,8.001511573791504
,7,,,,,,8.043265342712402,,8.043265342712402
,8,,,,,,8.16425895690918,,8.16425895690918
,9,,,,,,7.570505619049072,,7.570505619049072
0,36,,,,,7.983635902404785,,7.983635902404785,
0,36,2643.900390625,,2643.900390625,,,,,
1,49,,46.8828125,,46.8828125,,,,
,10,,,,,,2.4657952785491943,,2.4657952785491943
,11,,,,,,2.1657142639160156,,2.1657142639160156
,12,,,,,,2.357473611831665,,2.357473611831665
,13,,,,,,2.5877881050109863,,2.5877881050109863
,14,,,,,,2.2834982872009277,,2.2834982872009277
,15,,,,,,2.3900036811828613,,2.3900036811828613
,16,,,,,,2.3396105766296387,,2.3396105766296387
,17,,,,,,2.3256120681762695,,2.3256120681762695
,18,,,,,,2.207779884338379,,2.207779884338379
,19,,,,,,2.6330533027648926,,2.6330533027648926
1,73,,,,,2.3519115447998047,,2.3519115447998047,
1,73,59.809593200683594,,59.809593200683594,,,,,
2,99,,18.980300903320312,,18.980300903320312,,,,
,20,,,,,,0.10252360999584198,,0.10252360999584198
,21,,,,,,0.09454345703125,,0.09454345703125
,22,,,,,,0.1027471125125885,,0.1027471125125885
,23,,,,,,0.09891104698181152,,0.09891104698181152
,24,,,,,,0.08884422481060028,,0.08884422481060028
,25,,,,,,0.09576311707496643,,0.09576311707496643
,26,,,,,,0.09098832309246063,,0.09098832309246063
,27,,,,,,0.10593855381011963,,0.10593855381011963
,28,,,,,,0.071799635887146,,0.071799635887146
,29,,,,,,0.11303197592496872,,0.11303196847438812
2,110,,,,,0.09498652070760727,,0.09498652070760727,
2,110,17.845582962036133,,17.845582962036133,,,,,
,30,,,,,,1.347638487815857,,1.347638487815857
,31,,,,,,1.5172449350357056,,1.5172449350357056
,32,,,,,,1.4115667343139648,,1.4115667343139648
,33,,,,,,1.264613389968872,,1.264613389968872
,34,,,,,,1.4395732879638672,,1.4395732879638672
,35,,,,,,1.3778903484344482,,1.3778903484344482
,36,,,,,,1.4034744501113892,,1.4034744501113892
,37,,,,,,1.4385566711425781,,1.4385566711425781
,38,,,,,,1.4518005847930908,,1.4518005847930908
,39,,,,,,1.259647250175476,,1.2596471309661865
3,147,,,,,1.4033232927322388,,1.4033232927322388,
3,147,17.09434700012207,,17.09434700012207,,,,,
4,149,,14.269637107849121,,14.269637107849121,,,,
,40,,,,,,1.0226044654846191,,1.0226044654846191
,41,,,,,,1.1581419706344604,,1.1581419706344604
,42,,,,,,1.0795600414276123,,1.0795600414276123
,43,,,,,,0.9535220861434937,,0.9535220861434937
,44,,,,,,1.0959628820419312,,1.0959628820419312
,45,,,,,,1.0460584163665771,,1.0460584163665771
,46,,,,,,1.0693049430847168,,1.0693049430847168
,47,,,,,,1.0973902940750122,,1.0973902940750122
,48,,,,,,1.103071928024292,,1.103071928024292
,49,,,,,,0.961537778377533,,0.9615377187728882
4,184,,,,,1.067670464515686,,1.067670464515686,
4,184,16.67751121520996,,16.67751121520996,,,,,
5,199,,14.358129501342773,,14.358129501342773,,,,
,50,,,,,,0.2675932049751282,,0.2675932049751282
,51,,,,,,0.1926848590373993,,0.1926848590373993
,52,,,,,,0.24098676443099976,,0.24098676443099976
,53,,,,,,0.2991624176502228,,0.2991624176502228
,54,,,,,,0.21801388263702393,,0.21801388263702393
,55,,,,,,0.2462584674358368,,0.2462584674358368
,56,,,,,,0.23287008702754974,,0.23287008702754974
,57,,,,,,0.23220950365066528,,0.23220950365066528
,58,,,,,,0.19336223602294922,,0.19336223602294922
,59,,,,,,0.314040869474411,,0.314040869474411
5,221,,,,,0.23723800480365753,,0.23723800480365753,
5,221,16.187114715576172,,16.187114715576172,,,,,
6,249,,19.906185150146484,,19.906185150146484,,,,
,60,,,,,,0.22788986563682556,,0.22788986563682556
,61,,,,,,0.16693006455898285,,0.16693006455898285
,62,,,,,,0.2082526683807373,,0.2082526683807373
,63,,,,,,0.2585315704345703,,0.2585315704345703
,64,,,,,,0.18949627876281738,,0.18949627876281738
,65,,,,,,0.20989194512367249,,0.20989194512367249
,66,,,,,,0.20081442594528198,,0.20081442594528198
,67,,,,,,0.2002352625131607,,0.2002352625131607
,68,,,,,,0.16904640197753906,,0.16904640197753906
,69,,,,,,0.2715137302875519,,0.2715137302875519
6,258,,,,,0.20461568236351013,,0.20461568236351013,
6,258,16.79051971435547,,16.79051971435547,,,,,
,70,,,,,,0.08471060544252396,,0.08471060544252396
,71,,,,,,0.09690706431865692,,0.09690706431865692
,72,,,,,,0.09511540830135345,,0.09511540830135345
,73,,,,,,0.07562024891376495,,0.07562024891376495
,74,,,,,,0.08760453015565872,,0.08760453015565872
,75,,,,,,0.08071738481521606,,0.08071738481521606
,76,,,,,,0.08501912653446198,,0.08501912653446198
,77,,,,,,0.09608960896730423,,0.09608960896730423
,78,,,,,,0.07530152797698975,,0.07530152797698975
,79,,,,,,0.086824432015419,,0.086824432015419
7,295,,,,,0.08635105192661285,,0.08635105192661285,
7,295,16.34144401550293,,16.34144401550293,,,,,
8,299,,17.649253845214844,,17.649253845214844,,,,
,80,,,,,,0.19880130887031555,,0.19880130887031555
,81,,,,,,0.23825399577617645,,0.23825399577617645
,82,,,,,,0.21916714310646057,,0.21916714310646057
,83,,,,,,0.17460493743419647,,0.17460493743419647
