epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,11966.1767578125,,
0,99,,14534.2998046875,,
0,149,,10230.40234375,,
0,199,,11166.783203125,,
,0,,,,10710.29296875
,1,,,,11687.3193359375
,2,,,,12374.8544921875
,3,,,,10773.5263671875
,4,,,,14396.9296875
,5,,,,11743.990234375
,6,,,,16965.740234375
,7,,,,11660.818359375
,8,,,,11599.7998046875
,9,,,,11254.2568359375
,10,,,,12550.22265625
,11,,,,13042.6201171875
,12,,,,13064.0947265625
,13,,,,13569.7861328125
,14,,,,16013.294921875
,15,,,,11332.4169921875
,16,,,,14181.6318359375
,17,,,,14366.5322265625
,18,,,,12332.984375
,19,,,,10420.5869140625
,20,,,,12609.984375
,21,,,,10586.6494140625
,22,,,,13493.1650390625
,23,,,,10854.748046875
,24,,,,13165.876953125
,25,,,,12934.5283203125
,26,,,,16387.412109375
,27,,,,12215.1298828125
,28,,,,12693.9375
,29,,,,13813.578125
,30,,,,14348.009765625
,31,,,,8955.56640625
,32,,,,14715.4404296875
,33,,,,10339.0537109375
,34,,,,12852.6044921875
,35,,,,12028.056640625
,36,,,,17528.9375
,37,,,,12662.890625
,38,,,,13491.6826171875
,39,,,,16395.611328125
,40,,,,15843.5810546875
,41,,,,12347.232421875
,42,,,,15022.5390625
,43,,,,14567.4921875
,44,,,,7489.9140625
,45,,,,13045.1630859375
,46,,,,13801.7861328125
,47,,,,11639.5849609375
,48,,,,12063.505859375
,49,,,,13502.83203125
,50,,,,13807.9853515625
,51,,,,11511.2919921875
,52,,,,13063.4130859375
,53,,,,11124.5986328125
,54,,,,10842.685546875
,55,,,,13263.3125
,56,,,,10984.61328125
,57,,,,10843.2646484375
,58,,,,14059.1142578125
,59,,,,11322.7666015625
,60,,,,16154.0986328125
,61,,,,17761.01171875
0,244,,,12844.1162109375,
0,244,12772.3408203125,,,
1,249,,12419.69140625,,
1,299,,12119.44140625,,
1,349,,11290.0,,
1,399,,15961.4443359375,,
1,449,,11735.2021484375,,
,62,,,,10689.255859375
,63,,,,11660.8857421875
,64,,,,12345.09765625
,65,,,,10747.7216796875
,66,,,,14358.3701171875
,67,,,,11713.95703125
,68,,,,16910.484375
,69,,,,11635.6845703125
,70,,,,11573.78125
,71,,,,11230.6552734375
,72,,,,12520.3505859375
,73,,,,13010.3564453125
,74,,,,13033.5654296875
,75,,,,13534.7119140625
,76,,,,15972.8984375
,77,,,,11306.443359375
,78,,,,14143.0654296875
,79,,,,14329.2607421875
,80,,,,12302.8916015625
,81,,,,10397.9384765625
,82,,,,12577.373046875
,83,,,,10565.8779296875
,84,,,,13454.1572265625
,85,,,,10828.6806640625
,86,,,,13125.833984375
,87,,,,12898.478515625
,88,,,,16335.00390625
,89,,,,12182.6572265625
,90,,,,12659.466796875
,91,,,,13775.6142578125
,92,,,,14310.5322265625
,93,,,,8936.9833984375
,94,,,,14671.49609375
,95,,,,10317.7919921875
,96,,,,12819.0947265625
,97,,,,11993.7958984375
,98,,,,17476.05859375
,99,,,,12627.34375
,100,,,,13452.990234375
,101,,,,16346.6455078125
,102,,,,15792.759765625
,103,,,,12314.28125
,104,,,,14979.0107421875
,105,,,,14525.6982421875
,106,,,,7479.3564453125
,107,,,,13008.7353515625
,108,,,,13764.232421875
,109,,,,11613.5751953125
,110,,,,12034.73046875
,111,,,,13467.99609375
,112,,,,13771.91015625
,113,,,,11484.9814453125
,114,,,,13032.9404296875
,115,,,,11095.4833984375
,116,,,,10822.3203125
,117,,,,13228.5439453125
,118,,,,10963.1005859375
,119,,,,10817.9873046875
,120,,,,14017.1982421875
,121,,,,11292.361328125
,122,,,,16109.1982421875
,123,,,,17709.275390625
1,489,,,12810.83984375,
1,489,12492.0205078125,,,
2,499,,13494.5029296875,,
2,549,,13460.884765625,,
2,599,,11346.5517578125,,
2,649,,10482.6748046875,,
2,699,,12923.8671875,,
,124,,,,10658.025390625
,125,,,,11622.1875
,126,,,,12301.4599609375
,127,,,,10706.1318359375
,128,,,,14304.486328125
,129,,,,11671.296875
,130,,,,16837.4296875
,131,,,,11598.8583984375
,132,,,,11531.2470703125
,133,,,,11195.533203125
,134,,,,12473.2314453125
,135,,,,12963.2412109375
,136,,,,12987.9638671875
,137,,,,13485.7880859375
,138,,,,15917.775390625
,139,,,,11266.9248046875
,140,,,,14081.2841796875
,141,,,,14269.3603515625
,142,,,,12261.3818359375
,143,,,,10358.958984375
,144,,,,12530.11328125
,145,,,,10530.3818359375
,146,,,,13399.5888671875
,147,,,,10792.7626953125
,148,,,,13069.6171875
,149,,,,12849.0986328125
,150,,,,16270.03515625
,151,,,,12142.53125
,152,,,,12613.1640625
,153,,,,13721.80078125
,154,,,,14259.783203125
,155,,,,8906.828125
,156,,,,14612.8955078125
,157,,,,10282.01953125
,158,,,,12771.4736328125
,159,,,,11949.025390625
,160,,,,17399.744140625
,161,,,,12576.015625
,162,,,,13394.1220703125
,163,,,,16278.279296875
,164,,,,15727.2431640625
,165,,,,12262.208984375
,166,,,,14926.5947265625
,167,,,,14471.724609375
,168,,,,7453.66552734375
,169,,,,12956.337890625
,170,,,,13715.9775390625
,171,,,,11576.64453125
,172,,,,11991.560546875
,173,,,,13420.03515625
,174,,,,13726.166015625
,175,,,,11448.1201171875
,176,,,,12988.0126953125
,177,,,,11052.4013671875
,178,,,,10792.7255859375
,179,,,,13181.1728515625
