epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,2947.776123046875,,
,0,,,,2337.43798828125
,1,,,,2393.53564453125
,2,,,,1707.2265625
,3,,,,2386.33740234375
,4,,,,2488.924072265625
,5,,,,1984.9964599609375
,6,,,,2739.73876953125
,7,,,,2079.466064453125
,8,,,,2867.720703125
,9,,,,2042.107421875
,10,,,,2220.069091796875
,11,,,,2706.586181640625
,12,,,,1811.997802734375
,13,,,,2837.847412109375
,14,,,,1819.5107421875
,15,,,,1790.109619140625
0,62,,,2274.70849609375,
0,62,2138.056640625,,,
1,99,,2325.8369140625,,
,16,,,,2339.3623046875
,17,,,,2394.62841796875
,18,,,,1708.292724609375
,19,,,,2388.462158203125
,20,,,,2490.380859375
,21,,,,1985.5787353515625
,22,,,,2743.37841796875
,23,,,,2080.531494140625
,24,,,,2874.304443359375
,25,,,,2042.728271484375
,26,,,,2220.64013671875
,27,,,,2710.117919921875
,28,,,,1812.1812744140625
,29,,,,2846.7275390625
,30,,,,1821.243408203125
,31,,,,1790.788330078125
1,125,,,2276.979248046875,
1,125,2131.077880859375,,,
2,149,,1587.57568359375,,
,32,,,,2338.82666015625
,33,,,,2394.6494140625
,34,,,,1708.32373046875
,35,,,,2388.0
,36,,,,2490.2744140625
,37,,,,1985.1690673828125
,38,,,,2743.13134765625
,39,,,,2080.35302734375
,40,,,,2874.447265625
,41,,,,2042.626708984375
,42,,,,2220.181640625
,43,,,,2709.913330078125
,44,,,,1811.8388671875
,45,,,,2848.34521484375
,46,,,,1821.058837890625
,47,,,,1790.7646484375
2,188,,,2276.8876953125,
2,188,2120.45703125,,,
3,199,,2231.546142578125,,
3,249,,1623.548095703125,,
,48,,,,2337.63037109375
,49,,,,2393.197998046875
,50,,,,1707.3702392578125
,51,,,,2386.76611328125
,52,,,,2488.81396484375
,53,,,,1984.279541015625
,54,,,,2740.765869140625
,55,,,,2079.426513671875
,56,,,,2872.125
,57,,,,2041.68115234375
,58,,,,2219.19189453125
,59,,,,2708.936279296875
,60,,,,1810.97119140625
,61,,,,2846.470703125
,62,,,,1820.09716796875
,63,,,,1789.858642578125
3,251,,,2275.6083984375,
3,251,2109.9921875,,,
4,299,,2327.29150390625,,
,64,,,,2336.51806640625
,65,,,,2391.990966796875
,66,,,,1706.3697509765625
,67,,,,2385.75341796875
,68,,,,2487.48583984375
,69,,,,1983.71923828125
,70,,,,2739.23046875
,71,,,,2078.6142578125
,72,,,,2869.966552734375
,73,,,,2040.51708984375
,74,,,,2218.44873046875
,75,,,,2706.718017578125
,76,,,,1810.4298095703125
,77,,,,2844.46630859375
,78,,,,1819.021484375
,79,,,,1789.1298828125
4,314,,,2274.397216796875,
4,314,2098.675048828125,,,
5,349,,1550.030517578125,,
,80,,,,2335.2919921875
,81,,,,2390.839599609375
,82,,,,1705.84912109375
,83,,,,2384.64013671875
,84,,,,2486.081787109375
,85,,,,1982.822998046875
,86,,,,2738.431640625
,87,,,,2077.80224609375
,88,,,,2868.033203125
,89,,,,2040.184326171875
,90,,,,2217.322265625
,91,,,,2705.57421875
,92,,,,1809.58642578125
,93,,,,2842.31884765625
,94,,,,1818.2138671875
,95,,,,1788.2401123046875
5,377,,,2273.321044921875,
5,377,2086.85888671875,,,
6,399,,2068.994873046875,,
,96,,,,2333.43798828125
,97,,,,2389.01611328125
,98,,,,1704.736328125
,99,,,,2383.129150390625
,100,,,,2484.10693359375
,101,,,,1981.74462890625
,102,,,,2735.11181640625
,103,,,,2076.89013671875
,104,,,,2864.47900390625
,105,,,,2038.8232421875
,106,,,,2215.9150390625
,107,,,,2702.06591796875
,108,,,,1808.744384765625
,109,,,,2837.777587890625
,110,,,,1816.642822265625
,111,,,,1787.06640625
6,440,,,2271.330322265625,
6,440,2077.1533203125,,,
7,449,,2401.50146484375,,
7,499,,1546.062255859375,,
,112,,,,2332.106689453125
,113,,,,2387.758056640625
,114,,,,1704.07080078125
,115,,,,2381.89404296875
,116,,,,2482.550048828125
,117,,,,1980.947265625
,118,,,,2733.570068359375
,119,,,,2075.85498046875
,120,,,,2863.248046875
,121,,,,2038.0538330078125
,122,,,,2214.810546875
,123,,,,2700.503662109375
,124,,,,1807.99658203125
,125,,,,2836.043701171875
,126,,,,1815.7413330078125
,127,,,,1786.3343505859375
7,503,,,2270.18310546875,
7,503,2068.184326171875,,,
8,549,,2182.65478515625,,
,128,,,,2330.4384765625
,129,,,,2385.97119140625
,130,,,,1703.1568603515625
,131,,,,2379.4794921875
,132,,,,2480.529296875
,133,,,,1980.091552734375
,134,,,,2730.301025390625
,135,,,,2074.433837890625
,136,,,,2858.93017578125
,137,,,,2036.926025390625
,138,,,,2213.246826171875
,139,,,,2697.625
,140,,,,1807.30615234375
,141,,,,2830.0966796875
,142,,,,1814.21533203125
,143,,,,1785.326171875
8,566,,,2268.06884765625,
8,566,2061.62890625,,,
9,599,,2992.940673828125,,
,144,,,,2329.58447265625
,145,,,,2385.260009765625
,146,,,,1702.5240478515625
,147,,,,2378.652587890625
,148,,,,2479.574951171875
,149,,,,1979.214111328125
,150,,,,2730.29150390625
,151,,,,2073.75341796875
,152,,,,2857.94384765625
,153,,,,2036.218017578125
,154,,,,2212.19580078125
,155,,,,2697.099609375
,156,,,,1806.386962890625
,157,,,,2829.51171875
,158,,,,1813.34619140625
,159,,,,1784.529296875
9,629,,,2267.321044921875,
9,629,2052.399169921875,,,
10,649,,1877.790283203125,,
,160,,,,2328.3837890625
,161,,,,2383.682373046875
,162,,,,1701.666748046875
,163,,,,2377.34716796875
,164,,,,2477.86279296875
,165,,,,1978.3941650390625
,166,,,,2728.488037109375
,167,,,,2072.70654296875
,168,,,,2856.3251953125
,169,,,,2035.203125
,170,,,,2211.02587890625
,171,,,,2695.3935546875
,172,,,,1805.64306640625
,173,,,,2827.48388671875
,174,,,,1812.2392578125
,175,,,,1783.5992431640625
10,692,,,2266.022216796875,
10,692,2043.574951171875,,,
11,699,,2144.3564453125,,
11,749,,1924.572265625,,
,176,,,,2327.430419921875
,177,,,,2382.27783203125
,178,,,,1700.5185546875
,179,,,,2376.01953125
,180,,,,2476.45361328125
,181,,,,1977.396484375
,182,,,,2726.305908203125
,183,,,,2071.754150390625
,184,,,,2854.42578125
,185,,,,2033.716552734375
,186,,,,2209.96240234375
,187,,,,2694.65478515625
,188,,,,1804.610107421875
,189,,,,2825.35888671875
,190,,,,1811.09033203125
,191,,,,1782.6585693359375
11,755,,,2264.712646484375,
11,755,2036.3660888671875,,,
12,799,,1794.4139404296875,,
,192,,,,2324.68603515625
,193,,,,2380.319580078125
,194,,,,1699.541748046875
,195,,,,2373.384033203125
,196,,,,2474.0126953125
,197,,,,1976.0501708984375
,198,,,,2723.81494140625
,199,,,,2070.004638671875
,200,,,,2850.580078125
,201,,,,2032.416259765625
,202,,,,2208.092529296875
,203,,,,2689.627197265625
,204,,,,1803.4971923828125
,205,,,,2820.91455078125
,206,,,,1808.93359375
,207,,,,1781.423095703125
12,818,,,2262.35302734375,
12,818,2031.451904296875,,,
13,849,,1989.74853515625,,
,208,,,,2323.892333984375
,209,,,,2378.92431640625
,210,,,,1698.686767578125
,211,,,,2372.28759765625
,212,,,,2472.7001953125
,213,,,,1975.493896484375
,214,,,,2721.91162109375
,215,,,,2069.0498046875
,216,,,,2849.41162109375
,217,,,,2031.33544921875
,218,,,,2207.22021484375
,219,,,,2688.38232421875
,220,,,,1802.903564453125
,221,,,,2819.93359375
,222,,,,1808.0662841796875
,223,,,,1780.5526123046875
13,881,,,2261.314697265625,
13,881,2024.33203125,,,
14,899,,2633.618896484375,,
,224,,,,2322.13134765625
,225,,,,2377.3076171875
,226,,,,1697.64697265625
,227,,,,2370.728515625
,228,,,,2470.91796875
,229,,,,1974.2327880859375
,230,,,,2720.392578125
,231,,,,2067.859130859375
,232,,,,2847.47021484375
,233,,,,2029.93359375
,234,,,,2205.652587890625
,235,,,,2686.289306640625
,236,,,,1801.720458984375
,237,,,,2817.583740234375
,238,,,,1806.6993408203125
,239,,,,1779.474609375
14,944,,,2259.75927734375,
14,944,2016.8935546875,,,
15,949,,1940.430908203125,,
15,999,,2150.382080078125,,
,240,,,,2320.4248046875
,241,,,,2375.420166015625
,242,,,,1696.57275390625
,243,,,,2368.7353515625
,244,,,,2468.8916015625
,245,,,,1973.253662109375
,246,,,,2717.674560546875
,247,,,,2066.38916015625
,248,,,,2844.35888671875
,249,,,,2028.778076171875
,250,,,,2204.2587890625
,251,,,,2683.1826171875
,252,,,,1800.91357421875
,253,,,,2814.0458984375
,254,,,,1805.2559814453125
,255,,,,1778.4012451171875
15,1007,,,2257.898193359375,
15,1007,2010.272216796875,,,
16,1049,,1966.15185546875,,
,256,,,,2319.1474609375
,257,,,,2373.790283203125
,258,,,,1695.7611083984375
,259,,,,2367.3642578125
,260,,,,2467.2333984375
,261,,,,1972.4169921875
,262,,,,2716.184326171875
,263,,,,2065.2998046875
,264,,,,2842.23095703125
,265,,,,2027.936279296875
,266,,,,2202.988525390625
,267,,,,2681.450439453125
,268,,,,1800.048828125
,269,,,,2812.04931640625
,270,,,,1804.2427978515625
,271,,,,1777.4251708984375
16,1070,,,2256.578369140625,
16,1070,2004.305908203125,,,
17,1099,,1572.082763671875,,
,272,,,,2317.8203125
,273,,,,2372.313720703125
,274,,,,1694.795654296875
,275,,,,2365.913330078125
,276,,,,2465.605712890625
,277,,,,1971.4598388671875
,278,,,,2713.990478515625
,279,,,,2064.27099609375
,280,,,,2840.26953125
,281,,,,2026.49169921875
,282,,,,2201.590087890625
,283,,,,2679.392333984375
,284,,,,1799.21728515625
,285,,,,2809.48388671875
,286,,,,1802.873046875
,287,,,,1776.6419677734375
17,1133,,,2255.096923828125,
17,1133,1999.12841796875,,,
18,1149,,2046.339111328125,,
,288,,,,2316.1376953125
,289,,,,2370.536865234375
,290,,,,1693.6910400390625
,291,,,,2364.22509765625
,292,,,,2463.830078125
,293,,,,1970.555908203125
,294,,,,2711.5302734375
,295,,,,2063.0107421875
,296,,,,2837.86083984375
,297,,,,2025.4208984375
,298,,,,2200.34619140625
,299,,,,2677.066650390625
,300,,,,1798.318359375
,301,,,,2806.69140625
,302,,,,1801.5069580078125
,303,,,,1775.3642578125
18,1196,,,2253.461181640625,
18,1196,1998.0638427734375,,,
19,1199,,2022.611572265625,,
19,1249,,2598.734375,,
,304,,,,2314.24072265625
,305,,,,2368.948486328125
,306,,,,1692.602294921875
,307,,,,2362.488525390625
,308,,,,2462.00537109375
,309,,,,1969.109130859375
,310,,,,2709.7119140625
,311,,,,2061.51171875
,312,,,,2835.6953125
,313,,,,2024.048583984375
,314,,,,2198.61181640625
,315,,,,2674.412109375
,316,,,,1796.96044921875
,317,,,,2804.349853515625
,318,,,,1799.9129638671875
,319,,,,1774.162353515625
19,1259,,,2251.741455078125,
19,1259,1989.097412109375,,,
20,1299,,1959.5908203125,,
,320,,,,2312.42041015625
,321,,,,2366.765380859375
,322,,,,1690.751220703125
,323,,,,2360.671875
,324,,,,2459.7294921875
,325,,,,1967.3001708984375
,326,,,,2706.7880859375
,327,,,,2059.90234375
,328,,,,2833.62158203125
,329,,,,2021.9622802734375
