epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,1332.9803466796875
0,2,,,1332.9803466796875,
0,2,1297.9361572265625,,,
,1,,,,1332.82373046875
1,5,,,1332.82373046875,
1,5,1296.5706787109375,,,
,2,,,,1332.8494873046875
2,8,,,1332.8494873046875,
2,8,1297.1312255859375,,,
,3,,,,1332.9364013671875
3,11,,,1332.9364013671875,
3,11,1295.634765625,,,
,4,,,,1333.0693359375
4,14,,,1333.0693359375,
4,14,1294.966064453125,,,
,5,,,,1333.2742919921875
5,17,,,1333.2742919921875,
5,17,1294.9107666015625,,,
,6,,,,1333.5567626953125
6,20,,,1333.5567626953125,
6,20,1292.815673828125,,,
,7,,,,1333.772705078125
7,23,,,1333.772705078125,
7,23,1290.91748046875,,,
,8,,,,1333.898681640625
8,26,,,1333.898681640625,
8,26,1294.932861328125,,,
,9,,,,1334.0870361328125
9,29,,,1334.0870361328125,
9,29,1291.501708984375,,,
,10,,,,1334.3160400390625
10,32,,,1334.3160400390625,
10,32,1290.174072265625,,,
,11,,,,1334.56689453125
11,35,,,1334.56689453125,
11,35,1290.1767578125,,,
,12,,,,1334.4146728515625
12,38,,,1334.4146728515625,
12,38,1290.235107421875,,,
,13,,,,1334.325439453125
13,41,,,1334.325439453125,
13,41,1289.00537109375,,,
,14,,,,1334.143798828125
14,44,,,1334.143798828125,
14,44,1289.0621337890625,,,
,15,,,,1334.0028076171875
15,47,,,1334.0028076171875,
15,47,1289.669921875,,,
16,49,,1411.4371337890625,,
,16,,,,1333.7899169921875
16,50,,,1333.7899169921875,
16,50,1289.6710205078125,,,
