popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
77,179153,2020-05-08,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105
4,253547,2019-07-19,0.641,0.613,2,-9.451,1,0.0344,0.388,1.66e-06,0.0798,0.811,131.828
75,200107,2019-05-23,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981
0,212647,2021-04-16,0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.028
13,346133,2017-07-07,0.313,0.89,10,-6.95,0,0.0725,0.00659,0.0,0.806,0.14,80.028
44,237110,2016-10-14,0.686,0.332,9,-7.586,1,0.0324,0.769,0.0,0.0684,0.399,148.071
42,203659,2013-11-01,0.762,0.337,3,-10.066,1,0.0459,0.834,0.0,0.167,0.44,127.947
49,263720,2012-09-18,0.601,0.208,7,-10.93,1,0.0307,0.929,0.000168,0.104,0.279,120.001
67,184889,2020-04-01,0.73,0.789,10,-3.982,1,0.034,0.0269,0.0,0.129,0.106,107.981
68,231665,2012-04-17,0.531,0.887,5,-4.417,0,0.0329,0.00261,0.000512,0.0657,0.626,104.055
65,174013,2011-03-14,0.353,0.866,2,-3.274,1,0.0392,3.03e-05,3e-05,0.295,0.544,165.215
60,178356,2018-06-07,0.726,0.295,0,-14.504,1,0.219,0.696,0.000356,0.172,0.138,115.067
50,229202,2020-10-02,0.527,0.462,5,-5.504,1,0.0494,0.227,0.0,0.164,0.334,144.573
10,257333,2015-09-25,0.233,0.531,2,-12.363,1,0.044,0.135,9.59e-06,0.107,0.418,139.688
70,191680,2018-05-18,0.689,0.584,1,-5.768,0,0.119,0.339,0.0,0.297,0.676,156.572
48,272040,2011-01-26,0.427,0.977,3,-2.593,1,0.0716,0.00551,0.0,0.0781,0.399,92.435
52,211293,2013-01-01,0.675,0.648,7,-6.003,1,0.0317,0.234,0.0,0.561,0.322,114.051
46,227507,2014-06-24,0.389,0.354,0,-9.386,1,0.0262,0.461,0.0,0.327,0.204,137.399
