popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
86,383037,0.77,0.637,1,-5.53,1,0.345,0.103,0.0,0.171,0.431,94.966
86,168086,0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7
86,161124,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
86,215733,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799
86,176658,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983
85,95467,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953
85,158040,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911
85,169354,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073
85,167693,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991
85,168086,0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7
85,235767,0.626,0.79,2,-4.302,1,0.0311,0.135,3.97e-06,0.0989,0.416,119.082
85,174406,0.595,0.543,11,-8.149,1,0.038,0.127,0.0,0.0975,0.109,99.928
85,140533,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007
85,178405,0.964,0.398,11,-8.981,0,0.0795,0.00151,3.95e-05,0.101,0.563,105.012
85,194890,0.652,0.472,7,-8.084,1,0.0399,0.158,0.0,0.121,0.24,126.904
85,239600,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975
85,205458,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949
85,208867,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968
85,183290,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95
85,188387,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997
85,176547,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05
85,213827,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795
85,178000,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023
85,258343,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078
85,233478,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994
85,258987,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
85,180139,0.98,0.413,8,-11.052,0,0.101,0.671,7.95e-05,0.17,0.764,119.993
85,238805,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
85,184490,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933
85,237735,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037
85,155825,0.905,0.686,0,-3.152,1,0.0664,0.0907,0.0,0.266,0.963,103.013
85,135960,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972
85,238805,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
84,198973,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169
84,190947,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014
84,216773,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012
84,167916,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948
84,220839,0.589,0.496,2,-7.606,1,0.0377,0.818,0.0,0.101,0.44,142.731
84,340707,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972
84,227186,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
84,134240,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989
84,156106,0.708,0.186,9,-8.953,0,0.042,0.868,0.0,0.0779,0.322,72.541
84,172762,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995
84,227478,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013
84,143375,0.782,0.51,4,-5.724,0,0.0419,0.143,0.0,0.115,0.118,99.993
84,221820,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013
84,187436,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002
84,178157,0.806,0.513,4,-6.208,1,0.0685,0.217,0.0,0.217,0.503,124.988
84,146520,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036
84,158324,0.495,0.333,4,-10.109,0,0.0288,0.737,0.0,0.112,0.37,99.757
84,247160,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019
84,206693,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066
84,249587,0.432,0.652,8,-4.969,1,0.0285,0.262,0.0,0.258,0.507,190.028
