popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,316535,2018-09-28,0.242,0.881,8,-5.574,1,0.0822,0.0131,0.0296,0.155,0.0657,137.946
0,170031,2020-05-03,0.72,0.898,1,-7.105,1,0.164,0.153,0.0,0.227,0.92,105.002
0,216923,2018-09-28,0.536,0.832,8,-3.762,1,0.041,0.00768,0.0,0.054,0.175,130.069
0,251664,2020-05-03,0.691,0.726,10,-4.996,1,0.22,0.479,0.0,0.388,0.566,94.544
0,219680,2021-03-01,0.609,0.247,3,-11.532,1,0.0308,0.797,4.8e-05,0.0869,0.207,117.886
0,176647,2018-02-03,0.443,0.771,8,-4.943,0,0.0471,0.00867,2.89e-06,0.0739,0.532,104.042
0,338173,2021-03-01,0.6,0.287,0,-10.272,1,0.0288,0.828,0.0,0.14,0.211,110.075
0,281307,2018-02-03,0.598,0.878,6,-4.583,1,0.034,0.0852,2.35e-05,0.101,0.326,131.944
0,216000,2020-06-16,0.798,0.826,10,-5.742,0,0.0744,0.132,0.0,0.259,0.79,99.997
0,228001,2020-06-16,0.883,0.73,6,-5.229,1,0.0586,0.00657,0.00422,0.0579,0.538,127.859
0,161963,2017-09-06,0.558,0.816,8,-6.68,1,0.0748,0.0137,0.000255,0.0778,0.883,160.059
0,240000,2020-06-16,0.786,0.717,9,-5.402,1,0.0462,0.00204,0.000149,0.291,0.543,106.733
0,234000,2020-06-09,0.482,0.484,10,-8.209,0,0.028,0.0291,0.0,0.279,0.215,143.956
0,226000,2020-06-09,0.685,0.765,8,-6.112,0,0.0286,0.000277,0.00194,0.251,0.861,126.278
0,220047,2020-06-09,0.66,0.428,7,-11.026,0,0.0312,0.213,7.81e-06,0.372,0.4,78.995
0,270500,2020-06-09,0.821,0.474,5,-6.518,1,0.185,0.135,0.0,0.0845,0.872,94.043
0,235267,2020-06-09,0.446,0.797,4,-5.204,0,0.0358,0.00226,3.19e-05,0.309,0.326,95.076
0,355627,2017-06-01,0.359,0.883,4,-7.59,1,0.102,0.000168,0.00521,0.303,0.332,95.708
0,219399,2020-06-09,0.924,0.531,2,-7.946,1,0.272,0.0372,0.0,0.032,0.852,92.064
0,235327,2016-06-15,0.363,0.311,7,-10.465,1,0.0283,0.92,0.0149,0.12,0.108,81.038
0,165042,2015-10-03,0.663,0.685,9,-10.817,0,0.301,0.139,0.0,0.146,0.496,139.863
0,248307,2020-06-19,0.646,0.485,9,-5.684,0,0.03,0.0262,0.0,0.108,0.673,129.895
0,180373,2019-09-13,0.69,0.867,0,-5.038,1,0.199,0.187,0.000151,0.217,0.786,147.975
0,244011,2015-12-14,0.504,0.747,9,-9.752,1,0.329,0.295,0.0,0.141,0.815,178.122
0,204996,2019-09-13,0.71,0.622,2,-6.629,1,0.0559,0.185,0.000145,0.117,0.326,96.016
0,177293,2019-09-13,0.694,0.518,7,-8.698,1,0.0311,0.0873,0.00147,0.214,0.838,126.045
0,305143,2021-02-15,0.627,0.602,10,-8.118,0,0.0398,0.0093,0.308,0.277,0.044,140.051
0,242452,2015-04-11,0.206,0.867,10,-3.784,1,0.0703,0.00195,0.263,0.109,0.211,141.971
0,188293,2013-03-22,0.716,0.87,11,-4.948,0,0.0472,0.054,0.0234,0.0529,0.937,131.028
0,240354,2015-04-11,0.388,0.903,11,-3.73,0,0.0343,5.46e-05,0.00909,0.347,0.392,135.878
0,166040,2012-09-21,0.263,0.978,9,-5.66,0,0.0981,0.00285,3.4e-06,0.0695,0.36,129.281
0,194373,2012-09-21,0.159,0.843,2,-6.219,0,0.0471,0.0018,0.0659,0.0909,0.454,154.472
