epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,2255.962646484375,,
0,99,,2054.862060546875,,
,0,,,,1925.7252197265625
,1,,,,2119.17333984375
,2,,,,2223.21435546875
,3,,,,1580.5513916015625
,4,,,,2190.49609375
,5,,,,2249.01513671875
,6,,,,2378.2578125
,7,,,,2163.580078125
,8,,,,1665.4593505859375
,9,,,,2007.09912109375
,10,,,,1981.8173828125
,11,,,,1435.2684326171875
,12,,,,1791.04150390625
,13,,,,1641.3037109375
,14,,,,1652.62548828125
,15,,,,2392.58837890625
,16,,,,2259.47802734375
,17,,,,2570.00390625
,18,,,,1587.439453125
,19,,,,2093.23583984375
,20,,,,2231.681640625
,21,,,,1481.0390625
,22,,,,2446.412353515625
,23,,,,1839.3026123046875
,24,,,,1894.0997314453125
,25,,,,1931.0970458984375
,26,,,,1734.101318359375
,27,,,,1827.686279296875
,28,,,,2336.534423828125
,29,,,,1735.332275390625
,30,,,,1781.531494140625
,31,,,,1512.001708984375
0,124,,,1968.7742919921875,
0,124,1955.9222412109375,,,
1,149,,1931.8912353515625,,
1,199,,1684.82080078125,,
1,249,,1707.5943603515625,,
,32,,,,1925.2542724609375
,33,,,,2117.892578125
,34,,,,2223.08984375
,35,,,,1580.1129150390625
,36,,,,2189.018310546875
,37,,,,2247.587890625
,38,,,,2377.71484375
,39,,,,2163.208984375
,40,,,,1664.120849609375
,41,,,,2005.828369140625
,42,,,,1981.5186767578125
,43,,,,1433.973876953125
,44,,,,1790.3878173828125
,45,,,,1640.23095703125
,46,,,,1651.1610107421875
,47,,,,2391.35205078125
,48,,,,2258.066650390625
,49,,,,2569.099365234375
,50,,,,1587.0426025390625
,51,,,,2092.83544921875
,52,,,,2232.066650390625
,53,,,,1479.8494873046875
,54,,,,2445.218994140625
,55,,,,1838.685791015625
,56,,,,1893.0328369140625
,57,,,,1930.153076171875
,58,,,,1733.50390625
,59,,,,1826.247802734375
,60,,,,2335.14990234375
,61,,,,1734.636962890625
,62,,,,1780.1728515625
,63,,,,1511.93212890625
1,249,,,1967.878173828125,
1,249,1937.9810791015625,,,
2,299,,1516.558349609375,,
2,349,,2149.110107421875,,
,64,,,,1922.9234619140625
,65,,,,2116.195556640625
,66,,,,2220.47509765625
,67,,,,1577.9697265625
,68,,,,2186.587158203125
,69,,,,2245.313720703125
,70,,,,2374.5576171875
,71,,,,2160.044921875
,72,,,,1661.953125
,73,,,,2003.60302734375
,74,,,,1978.9310302734375
,75,,,,1431.9803466796875
,76,,,,1787.6485595703125
,77,,,,1638.530029296875
,78,,,,1649.36962890625
,79,,,,2387.9521484375
,80,,,,2254.96435546875
,81,,,,2565.99658203125
,82,,,,1584.619873046875
,83,,,,2090.14794921875
,84,,,,2229.239990234375
,85,,,,1478.6287841796875
,86,,,,2442.2353515625
,87,,,,1836.196533203125
,88,,,,1890.779541015625
,89,,,,1928.0194091796875
,90,,,,1731.172607421875
,91,,,,1824.110107421875
,92,,,,2331.815185546875
,93,,,,1732.5235595703125
,94,,,,1777.7908935546875
,95,,,,1509.993408203125
2,374,,,1965.4327392578125,
2,374,1920.4666748046875,,,
3,399,,1871.1534423828125,,
3,449,,2043.822998046875,,
3,499,,1208.4365234375,,
,96,,,,1919.42578125
,97,,,,2114.511962890625
,98,,,,2217.437744140625
,99,,,,1575.562255859375
,100,,,,2182.84521484375
,101,,,,2241.70068359375
,102,,,,2371.57568359375
,103,,,,2157.074951171875
,104,,,,1660.10888671875
,105,,,,2000.99853515625
,106,,,,1976.06591796875
,107,,,,1430.598388671875
,108,,,,1784.8118896484375
,109,,,,1635.5977783203125
,110,,,,1646.767333984375
,111,,,,2384.743896484375
,112,,,,2250.357666015625
,113,,,,2562.771484375
,114,,,,1582.0054931640625
,115,,,,2087.314208984375
,116,,,,2225.35888671875
,117,,,,1476.537841796875
,118,,,,2438.654541015625
,119,,,,1834.69677734375
,120,,,,1887.4453125
,121,,,,1925.6451416015625
,122,,,,1728.8095703125
,123,,,,1821.550048828125
,124,,,,2327.9052734375
,125,,,,1729.7747802734375
,126,,,,1774.9403076171875
,127,,,,1507.98974609375
3,499,,,1962.5789794921875,
3,499,1905.5186767578125,,,
4,549,,1924.1005859375,,
4,599,,1644.6478271484375,,
,128,,,,1917.3541259765625
,129,,,,2112.44482421875
,130,,,,2215.502197265625
,131,,,,1574.18115234375
,132,,,,2181.25439453125
,133,,,,2238.9189453125
,134,,,,2368.61083984375
,135,,,,2153.98828125
,136,,,,1659.3251953125
,137,,,,1999.5013427734375
,138,,,,1974.128662109375
,139,,,,1429.712646484375
,140,,,,1782.757080078125
,141,,,,1634.543701171875
,142,,,,1645.964111328125
,143,,,,2381.99560546875
,144,,,,2247.753662109375
,145,,,,2559.767578125
,146,,,,1579.912109375
,147,,,,2084.623046875
,148,,,,2221.6787109375
,149,,,,1475.6708984375
,150,,,,2435.43212890625
,151,,,,1833.4837646484375
,152,,,,1885.185302734375
,153,,,,1924.9407958984375
,154,,,,1727.237548828125
,155,,,,1820.2127685546875
,156,,,,2325.138916015625
,157,,,,1728.42041015625
,158,,,,1773.068115234375
,159,,,,1507.03076171875
4,624,,,1960.6231689453125,
4,624,1889.7403564453125,,,
5,649,,1738.84716796875,,
5,699,,1820.679931640625,,
5,749,,1892.1224365234375,,
,160,,,,1915.657470703125
,161,,,,2110.267578125
,162,,,,2213.20068359375
,163,,,,1572.127197265625
,164,,,,2179.584716796875
,165,,,,2237.2626953125
,166,,,,2365.635498046875
,167,,,,2151.9482421875
,168,,,,1657.591552734375
,169,,,,1997.793212890625
,170,,,,1971.6353759765625
,171,,,,1427.9893798828125
,172,,,,1781.175048828125
,173,,,,1633.113037109375
,174,,,,1643.9302978515625
,175,,,,2378.8662109375
,176,,,,2245.279052734375
,177,,,,2557.001220703125
,178,,,,1578.5745849609375
,179,,,,2082.55224609375
,180,,,,2219.67236328125
,181,,,,1473.9720458984375
,182,,,,2431.645751953125
,183,,,,1831.6142578125
,184,,,,1883.389404296875
,185,,,,1922.7001953125
,186,,,,1725.0308837890625
,187,,,,1818.084716796875
,188,,,,2321.80615234375
,189,,,,1726.2279052734375
,190,,,,1771.2462158203125
,191,,,,1506.35595703125
5,749,,,1958.5009765625,
5,749,1876.95166015625,,,
6,799,,2138.14599609375,,
6,849,,1567.523193359375,,
,192,,,,1913.3388671875
,193,,,,2108.40283203125
,194,,,,2210.676513671875
,195,,,,1569.87158203125
,196,,,,2176.4052734375
,197,,,,2234.54638671875
,198,,,,2363.054931640625
,199,,,,2149.28955078125
,200,,,,1655.1668701171875
,201,,,,1995.22509765625
,202,,,,1969.5738525390625
,203,,,,1425.8138427734375
,204,,,,1778.6859130859375
,205,,,,1631.148681640625
,206,,,,1641.84130859375
,207,,,,2376.22705078125
,208,,,,2242.232421875
,209,,,,2554.54443359375
,210,,,,1576.4169921875
,211,,,,2080.927734375
,212,,,,2217.448974609375
,213,,,,1473.095703125
,214,,,,2429.564453125
,215,,,,1829.6474609375
,216,,,,1881.2183837890625
,217,,,,1920.4049072265625
,218,,,,1723.56298828125
,219,,,,1816.203125
,220,,,,2319.1630859375
,221,,,,1724.485107421875
,222,,,,1769.590576171875
,223,,,,1504.0797119140625
6,874,,,1956.281494140625,
6,874,1868.4241943359375,,,
7,899,,1400.017578125,,
7,949,,1326.41162109375,,
7,999,,1917.762451171875,,
,224,,,,1911.024658203125
,225,,,,2106.789794921875
,226,,,,2208.54052734375
,227,,,,1568.3603515625
,228,,,,2174.612060546875
,229,,,,2232.2509765625
,230,,,,2360.003662109375
,231,,,,2145.960693359375
,232,,,,1654.0992431640625
,233,,,,1993.755859375
,234,,,,1967.6414794921875
,235,,,,1424.858642578125
,236,,,,1777.554443359375
,237,,,,1629.461181640625
,238,,,,1640.245361328125
,239,,,,2372.68896484375
,240,,,,2239.375
,241,,,,2551.188232421875
,242,,,,1575.1351318359375
,243,,,,2078.22900390625
,244,,,,2214.16064453125
,245,,,,1470.6513671875
,246,,,,2425.9296875
,247,,,,1828.037109375
,248,,,,1879.0567626953125
,249,,,,1918.73828125
,250,,,,1721.91259765625
,251,,,,1813.92431640625
,252,,,,2315.39453125
,253,,,,1722.557373046875
,254,,,,1766.832275390625
,255,,,,1503.4925537109375
7,999,,,1954.075439453125,
7,999,1857.121337890625,,,
8,1049,,2046.597900390625,,
8,1099,,1348.5419921875,,
,256,,,,1908.7564697265625
,257,,,,2104.29931640625
,258,,,,2206.0087890625
,259,,,,1566.893310546875
,260,,,,2172.89599609375
,261,,,,2229.7734375
,262,,,,2357.49267578125
,263,,,,2144.1962890625
,264,,,,1652.087890625
,265,,,,1991.0042724609375
,266,,,,1965.2386474609375
,267,,,,1423.00537109375
,268,,,,1774.8699951171875
,269,,,,1628.0745849609375
,270,,,,1638.986328125
,271,,,,2369.648681640625
,272,,,,2236.6484375
,273,,,,2548.631103515625
,274,,,,1572.65185546875
,275,,,,2075.796875
,276,,,,2211.1611328125
,277,,,,1469.2967529296875
,278,,,,2422.97802734375
,279,,,,1825.502197265625
,280,,,,1876.896484375
,281,,,,1916.658935546875
,282,,,,1719.798095703125
,283,,,,1811.9765625
,284,,,,2312.849609375
,285,,,,1720.3974609375
,286,,,,1764.7838134765625
,287,,,,1501.899658203125
8,1124,,,1951.8316650390625,
8,1124,1849.025390625,,,
9,1149,,1870.363037109375,,
9,1199,,2207.44580078125,,
9,1249,,1548.8443603515625,,
,288,,,,1905.60791015625
,289,,,,2102.0
,290,,,,2203.62939453125
,291,,,,1564.6156005859375
,292,,,,2169.265380859375
,293,,,,2226.075927734375
,294,,,,2354.51806640625
,295,,,,2141.5322265625
,296,,,,1650.200439453125
,297,,,,1988.15185546875
,298,,,,1962.9405517578125
,299,,,,1421.518798828125
,300,,,,1772.466552734375
,301,,,,1625.744140625
,302,,,,1636.7099609375
,303,,,,2366.3876953125
,304,,,,2232.965087890625
,305,,,,2545.905517578125
,306,,,,1570.5684814453125
,307,,,,2072.9521484375
,308,,,,2207.811279296875
,309,,,,1467.250244140625
,310,,,,2419.95947265625
,311,,,,1823.8271484375
,312,,,,1874.2265625
,313,,,,1914.671630859375
,314,,,,1717.887451171875
,315,,,,1809.110107421875
,316,,,,2309.352294921875
,317,,,,1718.186767578125
,318,,,,1762.4002685546875
,319,,,,1500.1688232421875
9,1249,,,1949.2315673828125,
9,1249,1839.7379150390625,,,
10,1299,,1614.8585205078125,,
10,1349,,2074.183837890625,,
,320,,,,1902.300537109375
,321,,,,2098.119140625
,322,,,,2199.531005859375
,323,,,,1562.0928955078125
,324,,,,2166.759765625
,325,,,,2222.317626953125
,326,,,,2350.00927734375
,327,,,,2136.86328125
,328,,,,1648.087158203125
,329,,,,1985.160400390625
,330,,,,1959.437255859375
,331,,,,1418.5499267578125
,332,,,,1768.3076171875
,333,,,,1623.33349609375
,334,,,,1634.422119140625
,335,,,,2361.6474609375
,336,,,,2228.97900390625
,337,,,,2541.36669921875
,338,,,,1567.544677734375
,339,,,,2069.14208984375
,340,,,,2203.2529296875
,341,,,,1464.6534423828125
,342,,,,2415.163330078125
,343,,,,1820.353515625
,344,,,,1870.644287109375
,345,,,,1911.952392578125
,346,,,,1715.0120849609375
,347,,,,1805.7266845703125
,348,,,,2305.30078125
,349,,,,1715.0711669921875
,350,,,,1758.8779296875
,351,,,,1497.292236328125
10,1374,,,1945.7376708984375,
10,1374,1833.9627685546875,,,
11,1399,,1492.741455078125,,
11,1449,,1808.1982421875,,
11,1499,,1879.97705078125,,
,352,,,,1900.80712890625
,353,,,,2097.05419921875
,354,,,,2198.125
,355,,,,1561.53955078125
,356,,,,2165.166748046875
,357,,,,2220.589599609375
,358,,,,2348.03466796875
,359,,,,2135.04443359375
,360,,,,1647.1556396484375
,361,,,,1984.273193359375
,362,,,,1958.3876953125
,363,,,,1417.9425048828125
,364,,,,1767.84814453125
