epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,3330.265380859375,,
,0,,,,2033.4931640625
,1,,,,2153.06884765625
,2,,,,2764.348388671875
,3,,,,2021.5921630859375
,4,,,,2623.143310546875
,5,,,,2013.150146484375
,6,,,,2621.95849609375
,7,,,,2250.12060546875
,8,,,,2287.6044921875
,9,,,,2157.048095703125
,10,,,,2508.93798828125
,11,,,,2433.146484375
,12,,,,2748.5810546875
,13,,,,2040.0408935546875
,14,,,,3126.04052734375
,15,,,,2054.470947265625
0,62,,,2372.244384765625,
0,62,2143.576416015625,,,
1,99,,2431.883056640625,,
,16,,,,2032.093994140625
,17,,,,2151.0341796875
,18,,,,2762.107421875
,19,,,,2020.2646484375
,20,,,,2619.871826171875
,21,,,,2012.2578125
,22,,,,2620.925537109375
,23,,,,2247.82861328125
,24,,,,2286.897705078125
,25,,,,2155.391845703125
,26,,,,2506.99658203125
,27,,,,2432.10791015625
,28,,,,2746.55078125
,29,,,,2037.7498779296875
,30,,,,3124.2744140625
,31,,,,2052.41796875
1,125,,,2370.50341796875,
1,125,2133.625244140625,,,
2,149,,1787.009033203125,,
,32,,,,2030.7479248046875
,33,,,,2150.158203125
,34,,,,2759.748046875
,35,,,,2019.8544921875
,36,,,,2616.771240234375
,37,,,,2010.843994140625
,38,,,,2619.191650390625
,39,,,,2246.785400390625
,40,,,,2286.13818359375
,41,,,,2154.664306640625
,42,,,,2504.734130859375
,43,,,,2431.6376953125
,44,,,,2744.67578125
,45,,,,2036.4248046875
,46,,,,3122.11328125
,47,,,,2050.820556640625
2,188,,,2369.040283203125,
2,188,2123.085205078125,,,
3,199,,2162.1240234375,,
