epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,1933.982177734375,,
0,99,,2102.05029296875,,
0,149,,2547.775390625,,
0,199,,3355.5078125,,
,0,,,,2222.375
,1,,,,2309.7958984375
,2,,,,2017.14990234375
,3,,,,2832.18359375
,4,,,,1905.268310546875
,5,,,,1932.957275390625
,6,,,,2128.72509765625
,7,,,,2161.8740234375
,8,,,,4389.50927734375
,9,,,,2215.3623046875
,10,,,,3643.599609375
,11,,,,1985.5865478515625
,12,,,,2588.021484375
,13,,,,1794.671630859375
,14,,,,1948.3848876953125
,15,,,,2797.2685546875
,16,,,,2007.8359375
,17,,,,3045.03369140625
,18,,,,1918.7373046875
,19,,,,2176.906494140625
,20,,,,2569.0244140625
,21,,,,2073.96044921875
,22,,,,2972.6748046875
,23,,,,2138.79736328125
,24,,,,2573.6708984375
,25,,,,2035.242431640625
,26,,,,2313.10302734375
,27,,,,2081.228759765625
,28,,,,2331.888916015625
,29,,,,2919.28759765625
,30,,,,2544.13916015625
,31,,,,1722.155029296875
,32,,,,2227.41455078125
,33,,,,1816.802734375
,34,,,,2501.55126953125
,35,,,,2194.41064453125
,36,,,,2418.81982421875
,37,,,,2918.804931640625
,38,,,,2210.4228515625
,39,,,,2585.78564453125
,40,,,,2621.425537109375
,41,,,,2357.665771484375
,42,,,,2016.521484375
,43,,,,2318.573974609375
,44,,,,2438.84228515625
,45,,,,2312.376708984375
,46,,,,1809.8538818359375
,47,,,,2042.8778076171875
,48,,,,1820.837158203125
,49,,,,1964.84130859375
,50,,,,2381.044921875
,51,,,,2021.0985107421875
,52,,,,1745.42822265625
,53,,,,1856.6727294921875
,54,,,,1913.3895263671875
,55,,,,2171.043212890625
,56,,,,2739.6435546875
,57,,,,2186.700439453125
,58,,,,2467.41259765625
,59,,,,2187.43017578125
,60,,,,2523.683349609375
,61,,,,1890.62255859375
0,244,,,2310.864990234375,
0,244,2354.87451171875,,,
1,249,,2759.371826171875,,
1,299,,2951.466796875,,
1,349,,2437.64697265625,,
1,399,,2456.21923828125,,
1,449,,2208.88330078125,,
,62,,,,2215.3740234375
,63,,,,2303.5927734375
,64,,,,2012.8226318359375
,65,,,,2826.3251953125
,66,,,,1902.195068359375
,67,,,,1929.747314453125
,68,,,,2123.078125
,69,,,,2155.6357421875
,70,,,,4378.24560546875
,71,,,,2211.60986328125
,72,,,,3633.638916015625
,73,,,,1981.1783447265625
,74,,,,2579.7255859375
,75,,,,1791.066650390625
,76,,,,1944.318115234375
,77,,,,2791.229736328125
,78,,,,2003.8873291015625
,79,,,,3037.028564453125
,80,,,,1913.851318359375
,81,,,,2171.03515625
,82,,,,2564.383056640625
,83,,,,2069.383056640625
,84,,,,2963.633544921875
,85,,,,2133.82470703125
,86,,,,2568.41845703125
,87,,,,2028.9273681640625
,88,,,,2306.967529296875
,89,,,,2077.126708984375
,90,,,,2326.635498046875
,91,,,,2913.653076171875
,92,,,,2537.746826171875
,93,,,,1719.124267578125
,94,,,,2222.746337890625
,95,,,,1812.9300537109375
,96,,,,2496.65478515625
,97,,,,2189.41015625
,98,,,,2414.9453125
,99,,,,2913.16015625
,100,,,,2206.185791015625
,101,,,,2579.09912109375
,102,,,,2616.64208984375
,103,,,,2351.02880859375
,104,,,,2012.0517578125
,105,,,,2313.119140625
,106,,,,2432.171875
,107,,,,2307.306640625
,108,,,,1805.46533203125
,109,,,,2038.0745849609375
,110,,,,1817.204345703125
,111,,,,1960.77197265625
,112,,,,2375.91845703125
,113,,,,2016.13818359375
,114,,,,1742.7742919921875
,115,,,,1854.072509765625
,116,,,,1908.923828125
,117,,,,2166.593994140625
,118,,,,2733.14794921875
,119,,,,2182.955810546875
,120,,,,2462.048828125
,121,,,,2182.7578125
,122,,,,2518.685791015625
,123,,,,1885.78662109375
1,489,,,2305.63037109375,
1,489,2322.37353515625,,,
2,499,,2401.97216796875,,
2,549,,2763.060546875,,
2,599,,2809.17138671875,,
2,649,,1958.975341796875,,
2,699,,2662.8076171875,,
,124,,,,2211.078857421875
,125,,,,2299.118896484375
,126,,,,2009.1492919921875
,127,,,,2820.958740234375
,128,,,,1899.3287353515625
,129,,,,1925.540283203125
,130,,,,2118.778564453125
,131,,,,2150.74755859375
,132,,,,4369.11572265625
