epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,2110.9931640625,,
0,99,,1437.540771484375,,
,0,,,,1700.925537109375
,1,,,,2252.06103515625
,2,,,,2121.97705078125
,3,,,,1683.60205078125
,4,,,,1963.771728515625
,5,,,,2341.73046875
,6,,,,2315.3466796875
,7,,,,1993.624755859375
,8,,,,2223.945068359375
,9,,,,2239.82958984375
,10,,,,1948.11181640625
,11,,,,1501.0836181640625
,12,,,,1641.3692626953125
,13,,,,1765.385498046875
,14,,,,1716.86865234375
,15,,,,1733.13427734375
,16,,,,1882.7689208984375
,17,,,,2520.3681640625
,18,,,,1697.6363525390625
,19,,,,2174.8759765625
,20,,,,2231.5947265625
,21,,,,2591.47607421875
,22,,,,2353.947998046875
,23,,,,1759.94091796875
,24,,,,2299.973876953125
,25,,,,2319.671875
,26,,,,2332.726806640625
,27,,,,1918.6466064453125
,28,,,,2126.00048828125
,29,,,,1521.780517578125
,30,,,,2135.2646484375
,31,,,,1789.859375
0,124,,,2030.6209716796875,
0,124,1955.2880859375,,,
1,149,,1632.4879150390625,,
1,199,,2251.84423828125,,
1,249,,2160.6025390625,,
,32,,,,1699.86328125
,33,,,,2249.91015625
,34,,,,2120.2470703125
,35,,,,1681.8935546875
,36,,,,1961.5283203125
,37,,,,2339.37451171875
,38,,,,2313.204345703125
,39,,,,1991.7503662109375
,40,,,,2222.06396484375
,41,,,,2237.615478515625
,42,,,,1946.48388671875
,43,,,,1499.531982421875
,44,,,,1640.4248046875
,45,,,,1763.306640625
,46,,,,1715.4881591796875
,47,,,,1731.727294921875
,48,,,,1881.6439208984375
,49,,,,2518.5703125
,50,,,,1695.6566162109375
,51,,,,2172.4814453125
,52,,,,2230.46826171875
,53,,,,2589.65087890625
,54,,,,2352.26611328125
,55,,,,1758.302001953125
,56,,,,2297.7744140625
,57,,,,2317.154052734375
,58,,,,2330.651123046875
,59,,,,1916.5003662109375
,60,,,,2124.144775390625
,61,,,,1520.5791015625
,62,,,,2133.36767578125
,63,,,,1788.7545166015625
1,249,,,2028.8258056640625,
1,249,1936.5191650390625,,,
2,299,,2074.93115234375,,
2,349,,1468.5880126953125,,
,64,,,,1698.265625
,65,,,,2247.1328125
,66,,,,2117.9345703125
,67,,,,1680.0716552734375
,68,,,,1959.302490234375
,69,,,,2336.37158203125
,70,,,,2310.8173828125
,71,,,,1989.43359375
,72,,,,2219.066162109375
,73,,,,2235.744140625
,74,,,,1945.17919921875
,75,,,,1497.528564453125
,76,,,,1638.460205078125
,77,,,,1760.30615234375
,78,,,,1713.6644287109375
,79,,,,1729.6563720703125
,80,,,,1880.271240234375
,81,,,,2515.8203125
,82,,,,1693.255126953125
,83,,,,2169.849609375
,84,,,,2228.57861328125
,85,,,,2587.068115234375
,86,,,,2350.020751953125
,87,,,,1756.0316162109375
,88,,,,2295.357666015625
,89,,,,2314.398681640625
,90,,,,2327.958740234375
,91,,,,1914.391357421875
,92,,,,2122.090087890625
,93,,,,1517.9794921875
,94,,,,2131.162109375
,95,,,,1786.739501953125
2,374,,,2026.55517578125,
2,374,1917.9617919921875,,,
3,399,,1970.2655029296875,,
3,449,,1644.683837890625,,
3,499,,2124.765625,,
,96,,,,1696.686279296875
,97,,,,2244.16259765625
,98,,,,2115.43115234375
,99,,,,1677.903564453125
,100,,,,1956.937744140625
,101,,,,2333.334228515625
,102,,,,2308.192626953125
,103,,,,1987.3013916015625
,104,,,,2216.918212890625
,105,,,,2232.54345703125
,106,,,,1943.7529296875
,107,,,,1496.769287109375
,108,,,,1637.296875
,109,,,,1759.2191162109375
,110,,,,1712.676025390625
,111,,,,1728.1402587890625
,112,,,,1878.2755126953125
,113,,,,2513.966064453125
,114,,,,1691.357666015625
,115,,,,2166.467529296875
,116,,,,2226.26513671875
,117,,,,2584.934814453125
,118,,,,2347.4033203125
,119,,,,1754.6810302734375
,120,,,,2293.073974609375
,121,,,,2311.36962890625
,122,,,,2325.58837890625
,123,,,,1912.560546875
,124,,,,2119.673583984375
,125,,,,1516.57666015625
,126,,,,2128.9990234375
,127,,,,1785.7735595703125
3,499,,,2024.47705078125,
3,499,1901.4248046875,,,
4,549,,1483.06884765625,,
4,599,,1830.9456787109375,,
,128,,,,1695.657958984375
,129,,,,2241.312255859375
,130,,,,2113.009033203125
,131,,,,1675.2158203125
,132,,,,1953.8955078125
,133,,,,2329.51611328125
,134,,,,2304.566162109375
,135,,,,1983.961669921875
,136,,,,2213.2548828125
,137,,,,2229.02783203125
,138,,,,1942.0692138671875
,139,,,,1495.61328125
,140,,,,1635.8089599609375
,141,,,,1756.936767578125
,142,,,,1711.9144287109375
,143,,,,1726.1822509765625
,144,,,,1876.926025390625
,145,,,,2509.99853515625
,146,,,,1689.846435546875
,147,,,,2163.046875
,148,,,,2223.68017578125
,149,,,,2581.142822265625
,150,,,,2344.462890625
,151,,,,1752.4853515625
,152,,,,2289.806884765625
,153,,,,2308.01611328125
,154,,,,2322.463134765625
,155,,,,1910.4716796875
,156,,,,2117.3720703125
,157,,,,1514.988525390625
,158,,,,2127.21240234375
,159,,,,1783.0660400390625
4,624,,,2021.940185546875,
4,624,1885.7822265625,,,
5,649,,1614.929443359375,,
5,699,,2059.7001953125,,
5,749,,1721.0504150390625,,
,160,,,,1692.534912109375
,161,,,,2238.8203125
,162,,,,2110.02978515625
,163,,,,1673.693115234375
,164,,,,1951.6773681640625
,165,,,,2326.9814453125
,166,,,,2301.85888671875
,167,,,,1981.8409423828125
,168,,,,2209.785400390625
,169,,,,2226.88330078125
,170,,,,1939.3328857421875
,171,,,,1491.5498046875
