epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,49,,2675.6083984375,,
0,99,,2299.352294921875,,
,0,,,,1966.7506103515625
,1,,,,2116.860107421875
,2,,,,2212.727294921875
,3,,,,2457.261962890625
,4,,,,1864.9796142578125
,5,,,,1830.0701904296875
,6,,,,2018.34619140625
,7,,,,2115.53857421875
,8,,,,2186.5625
,9,,,,1915.929931640625
,10,,,,2453.83251953125
,11,,,,2155.749755859375
,12,,,,1711.6444091796875
,13,,,,1927.867431640625
,14,,,,2334.1591796875
,15,,,,1754.8211669921875
,16,,,,2828.0517578125
,17,,,,2372.39990234375
,18,,,,1563.8421630859375
,19,,,,2354.92431640625
,20,,,,2348.48974609375
,21,,,,2223.7724609375
,22,,,,2551.44921875
,23,,,,2002.9927978515625
,24,,,,1961.348388671875
,25,,,,2086.657470703125
,26,,,,1968.243896484375
,27,,,,1576.507080078125
,28,,,,2270.808349609375
,29,,,,2272.902587890625
,30,,,,1874.85400390625
,31,,,,1938.1558837890625
0,124,,,2104.476318359375,
0,124,2118.531005859375,,,
1,149,,2142.259765625,,
1,199,,2339.613037109375,,
1,249,,1684.197998046875,,
,32,,,,1965.560302734375
,33,,,,2115.75
,34,,,,2212.9072265625
,35,,,,2456.94482421875
,36,,,,1864.6993408203125
,37,,,,1828.8818359375
,38,,,,2016.3031005859375
,39,,,,2114.2626953125
,40,,,,2184.83447265625
,41,,,,1914.7845458984375
,42,,,,2454.34765625
,43,,,,2154.45947265625
,44,,,,1711.49072265625
,45,,,,1926.8353271484375
,46,,,,2332.35986328125
,47,,,,1754.092529296875
,48,,,,2827.67578125
,49,,,,2371.0439453125
,50,,,,1562.8592529296875
,51,,,,2352.97314453125
,52,,,,2347.24462890625
,53,,,,2222.736572265625
,54,,,,2550.48193359375
,55,,,,2002.1737060546875
,56,,,,1960.27978515625
,57,,,,2085.551025390625
,58,,,,1966.9449462890625
,59,,,,1575.624755859375
,60,,,,2269.43505859375
,61,,,,2271.4580078125
,62,,,,1873.708984375
,63,,,,1937.074951171875
1,249,,,2103.455078125,
1,249,2110.01171875,,,
2,299,,2154.69189453125,,
2,349,,1819.58056640625,,
,64,,,,1964.0894775390625
,65,,,,2114.23974609375
,66,,,,2209.99658203125
,67,,,,2454.8876953125
,68,,,,1863.515869140625
,69,,,,1827.6961669921875
,70,,,,2014.879150390625
,71,,,,2112.751953125
,72,,,,2183.587890625
,73,,,,1913.596923828125
,74,,,,2451.4619140625
,75,,,,2152.73193359375
,76,,,,1709.4488525390625
,77,,,,1925.34814453125
,78,,,,2330.7998046875
,79,,,,1752.8404541015625
,80,,,,2826.57177734375
,81,,,,2369.97998046875
,82,,,,1561.7679443359375
,83,,,,2351.5732421875
,84,,,,2345.28857421875
,85,,,,2221.234375
,86,,,,2550.04248046875
,87,,,,2000.737548828125
,88,,,,1958.9085693359375
,89,,,,2083.53857421875
,90,,,,1965.4000244140625
,91,,,,1574.5645751953125
,92,,,,2268.334228515625
,93,,,,2269.9296875
,94,,,,1872.4683837890625
,95,,,,1935.412353515625
2,374,,,2101.954345703125,
2,374,2106.10009765625,,,
3,399,,2078.3671875,,
3,449,,1884.4970703125,,
3,499,,1987.3555908203125,,
,96,,,,1962.88232421875
,97,,,,2112.843505859375
,98,,,,2208.859375
,99,,,,2453.2255859375
,100,,,,1862.5804443359375
,101,,,,1826.50146484375
,102,,,,2014.30810546875
,103,,,,2111.365478515625
,104,,,,2182.788818359375
,105,,,,1912.14306640625
,106,,,,2450.25
,107,,,,2151.2392578125
,108,,,,1708.524658203125
,109,,,,1924.5479736328125
,110,,,,2328.8984375
,111,,,,1751.40283203125
,112,,,,2825.2578125
,113,,,,2368.74169921875
,114,,,,1560.751953125
,115,,,,2350.62744140625
,116,,,,2343.552001953125
,117,,,,2219.748779296875
,118,,,,2548.44775390625
,119,,,,2000.068115234375
,120,,,,1957.5797119140625
,121,,,,2081.850341796875
,122,,,,1963.892578125
,123,,,,1573.699462890625
,124,,,,2266.7626953125
,125,,,,2268.70458984375
,126,,,,1871.172119140625
,127,,,,1933.93994140625
3,499,,,2100.694580078125,
3,499,2092.494140625,,,
4,549,,2750.638427734375,,
4,599,,1792.9970703125,,
,128,,,,1960.8782958984375
,129,,,,2110.73583984375
,130,,,,2206.7802734375
,131,,,,2451.09619140625
,132,,,,1861.215576171875
,133,,,,1825.017578125
,134,,,,2012.7657470703125
,135,,,,2109.576416015625
,136,,,,2180.732666015625
,137,,,,1910.3837890625
,138,,,,2448.29541015625
,139,,,,2149.130859375
,140,,,,1706.9364013671875
,141,,,,1922.74853515625
,142,,,,2326.9970703125
,143,,,,1749.8330078125
,144,,,,2821.60546875
,145,,,,2365.555419921875
,146,,,,1559.6875
,147,,,,2348.450927734375
,148,,,,2340.89404296875
,149,,,,2217.941162109375
,150,,,,2545.52001953125
,151,,,,1998.9248046875
,152,,,,1955.7457275390625
,153,,,,2079.779296875
,154,,,,1962.1796875
,155,,,,1572.7294921875
,156,,,,2264.1787109375
,157,,,,2266.40283203125
,158,,,,1869.591552734375
,159,,,,1932.3564453125
4,624,,,2098.732666015625,
4,624,2081.612060546875,,,
5,649,,1901.0765380859375,,
5,699,,1869.1422119140625,,
5,749,,2092.378173828125,,
,160,,,,1959.190673828125
,161,,,,2108.621337890625
,162,,,,2205.024658203125
,163,,,,2448.668212890625
,164,,,,1859.21337890625
,165,,,,1823.6878662109375
,166,,,,2011.3380126953125
,167,,,,2108.12109375
,168,,,,2178.759033203125
,169,,,,1909.035400390625
,170,,,,2446.384521484375
,171,,,,2147.25390625
,172,,,,1705.800048828125
,173,,,,1921.27001953125
,174,,,,2325.188720703125
,175,,,,1748.3671875
,176,,,,2818.8095703125
,177,,,,2363.39453125
,178,,,,1558.7940673828125
,179,,,,2346.293212890625
,180,,,,2338.42529296875
,181,,,,2216.077392578125
,182,,,,2542.926513671875
,183,,,,1996.7386474609375
,184,,,,1954.0164794921875
,185,,,,2077.82080078125
,186,,,,1960.636474609375
,187,,,,1571.9932861328125
,188,,,,2262.174072265625
,189,,,,2265.0478515625
,190,,,,1868.00341796875
,191,,,,1930.893798828125
5,749,,,2096.95361328125,
5,749,2065.12548828125,,,
6,799,,2635.89013671875,,
6,849,,1715.549072265625,,
,192,,,,1957.98779296875
,193,,,,2107.412353515625
,194,,,,2205.068115234375
,195,,,,2447.9970703125
,196,,,,1860.2276611328125
,197,,,,1822.7686767578125
,198,,,,2012.235595703125
,199,,,,2107.0126953125
,200,,,,2179.73095703125
,201,,,,1908.002197265625
,202,,,,2446.7451171875
,203,,,,2146.06689453125
,204,,,,1705.609619140625
,205,,,,1921.164306640625
,206,,,,2324.109375
,207,,,,1747.2159423828125
,208,,,,2818.17529296875
,209,,,,2361.64013671875
,210,,,,1558.04736328125
,211,,,,2345.37548828125
,212,,,,2336.680908203125
